id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors
7513548,2010-01-10 17:14:00,1024,4241,99.45,Swipe Transaction,40417,Andover,KS,67002.0,7922,
7515118,2010-01-11 08:11:00,1636,2930,1.57,Swipe Transaction,86438,Kansas City,MO,64124.0,5499,
7516732,2010-01-11 14:07:00,1487,2978,130.24,Online Transaction,59350,ONLINE,,,7922,
7518313,2010-01-12 00:22:00,575,4271,72.44,Swipe Transaction,8187,Levittown,PA,19054.0,4900,
7519911,2010-01-12 11:13:00,1777,5014,3.27,Swipe Transaction,61195,Annandale,VA,22003.0,5541,
7521520,2010-01-12 17:19:00,1837,259,46.31,Swipe Transaction,57904,Los Angeles,CA,90001.0,7230,
7523075,2010-01-13 08:18:00,1540,3763,43.40,Swipe Transaction,20519,Batavia,OH,45103.0,5942,
7524686,2010-01-13 13:58:00,112,1134,50.84,Online Transaction,39021,ONLINE,,,4784,
7526244,2010-01-14 00:03:00,96,3695,-234.00,Swipe Transaction,7777,Maple Valley,WA,98038.0,3684,
7527850,2010-01-14 11:14:00,1052,3651,1374.16,Swipe Transaction,38849,Pinole,CA,94564.0,8111,
7529449,2010-01-14 17:23:00,1285,5172,50.38,Swipe Transaction,20519,Arlington,VA,22207.0,5942,
7531017,2010-01-15 09:06:00,1769,43,3.04,Swipe Transaction,75936,Orlando,FL,32812.0,5814,
7532595,2010-01-15 15:50:00,1224,3874,3.60,Swipe Transaction,60569,Hyattsville,MD,20783.0,5300,
7534141,2010-01-16 07:05:00,1484,5058,0.54,Swipe Transaction,61195,Tucson,AZ,85750.0,5541,
7535726,2010-01-16 13:44:00,64,5429,13.70,Swipe Transaction,61530,Whittier,CA,90601.0,5921,
7537294,2010-01-16 22:05:00,846,3886,79.15,Swipe Transaction,69972,Omaha,NE,68136.0,5814,
7538877,2010-01-17 10:32:00,1583,3385,12.43,Swipe Transaction,69972,Lancaster,PA,17601.0,5814,
7540454,2010-01-17 16:11:00,20,3895,-84.00,Swipe Transaction,43293,Collinsville,TX,76233.0,5499,
7542041,2010-01-18 07:02:00,199,1031,32.73,Swipe Transaction,87018,Allen,TX,75002.0,5310,
7543657,2010-01-18 13:03:00,726,3391,65.95,Swipe Transaction,48919,Lakewood,CA,90712.0,5311,
7545252,2010-01-18 20:57:00,1081,3892,87.24,Swipe Transaction,75936,Aurora,CO,80013.0,5814,
7546815,2010-01-19 10:03:00,563,5074,3.57,Swipe Transaction,98374,Concordville,PA,19339.0,5411,
7548427,2010-01-19 16:12:00,331,3818,64.99,Swipe Transaction,50783,Andrews,SC,29510.0,5411,
7549981,2010-01-20 07:30:00,280,2959,19.25,Swipe Transaction,37588,Richmond,CA,94804.0,7538,
7551566,2010-01-20 13:09:00,1445,4716,55.00,Swipe Transaction,80374,Claypool,IN,46510.0,5300,
7553140,2010-01-20 21:14:00,711,4689,84.99,Swipe Transaction,22204,Staunton,IL,62088.0,5541,
7554742,2010-01-21 10:10:00,1891,5047,25.98,Swipe Transaction,20561,Port Orange,FL,32128.0,5912,
7556370,2010-01-21 16:00:00,1268,5520,40.32,Swipe Transaction,98682,Boaz,AL,35957.0,7230,
7557969,2010-01-22 07:50:00,895,1116,-55.00,Swipe Transaction,43293,Bloomington,CA,92316.0,5499,
7559579,2010-01-22 14:50:00,394,4717,39.67,Swipe Transaction,35148,Mohegan Lake,NY,10547.0,5813,
7561146,2010-01-23 05:18:00,549,2588,368.00,Swipe Transaction,3558,Quincy,MA,2169.0,3640,
7562738,2010-01-23 13:12:00,742,4751,16.74,Swipe Transaction,72123,Manassas,VA,20109.0,5211,
7564312,2010-01-23 21:01:00,1873,4110,35.66,Online Transaction,41122,ONLINE,,,4784,
7565886,2010-01-24 09:44:00,928,1203,94.03,Swipe Transaction,24427,Humble,TX,77346.0,4131,
7567481,2010-01-24 15:27:00,623,2072,18.86,Swipe Transaction,48919,Oak Lawn,IL,60453.0,5311,
7569042,2010-01-25 06:36:00,1871,2430,36.50,Swipe Transaction,43293,Albuquerque,NM,87121.0,5499,
7570662,2010-01-25 12:20:00,605,212,2.97,Swipe Transaction,54001,Brooklyn,NY,11210.0,5411,
7572269,2010-01-25 19:16:00,1733,5013,80.00,Swipe Transaction,27092,Barbourville,KY,40906.0,4829,
7573832,2010-01-26 09:17:00,1227,122,2.74,Swipe Transaction,44292,Plymouth,MI,48170.0,5411,
7575426,2010-01-26 14:37:00,1229,2427,-58.00,Swipe Transaction,59935,Pinehurst,NC,28374.0,5499,
7576983,2010-01-27 02:37:00,1560,5769,50.14,Online Transaction,27310,ONLINE,,,7349,
7578586,2010-01-27 11:32:00,1917,4968,13.94,Swipe Transaction,78454,Ronkonkoma,NY,11779.0,5812,
7580168,2010-01-27 17:37:00,1664,5147,21.69,Swipe Transaction,69972,Ann Arbor,MI,48103.0,5814,
7581749,2010-01-28 08:27:00,1026,2870,5.53,Swipe Transaction,44578,Dinuba,CA,93618.0,5812,
7583354,2010-01-28 14:20:00,1076,3027,112.04,Online Transaction,73186,ONLINE,,,4814,
7584948,2010-01-29 01:28:00,1498,2232,199.72,Swipe Transaction,39991,Lincoln Park,MI,48146.0,3771,
7586561,2010-01-29 12:49:00,89,2998,20.43,Swipe Transaction,59935,Mesilla Park,NM,88047.0,5499,
7588160,2010-01-29 20:32:00,1557,2471,6.69,Swipe Transaction,41260,Beaverton,OR,97008.0,5541,
7589723,2010-01-30 10:59:00,1618,3031,9.55,Swipe Transaction,12014,Mount Vernon,NY,10552.0,5814,
7591320,2010-01-30 17:08:00,1448,126,33.26,Online Transaction,39021,ONLINE,,,4784,
7592881,2010-01-31 07:48:00,1817,2530,63.00,Swipe Transaction,61195,Pearland,TX,77584.0,5541,
7594498,2010-01-31 13:28:00,714,2616,10.24,Swipe Transaction,59397,Woodburn,OR,97071.0,5812,
7596049,2010-01-31 22:00:00,1727,5982,15.20,Online Transaction,18563,ONLINE,,,4121,
7597619,2010-02-01 10:17:00,1080,2562,0.85,Swipe Transaction,98374,Elko,GA,31025.0,5411,
7599208,2010-02-01 16:11:00,1616,5164,32.65,Swipe Transaction,85376,Roanoke,TX,76262.0,4121,
7600778,2010-02-02 07:06:00,552,3275,-86.00,Swipe Transaction,43293,Gainesville,FL,32608.0,5499,
7602397,2010-02-02 12:45:00,1369,5792,69.00,Swipe Transaction,59935,Greenfield,IN,46140.0,5499,
7604001,2010-02-02 20:25:00,1765,2913,59.89,Swipe Transaction,60569,Warrenton,GA,30828.0,5300,
7605590,2010-02-03 09:54:00,231,4221,80.00,Swipe Transaction,27092,Newton Grove,NC,28366.0,4829,
7607216,2010-02-03 15:41:00,1687,2509,-73.00,Swipe Transaction,43293,Albuquerque,NM,87120.0,5499,
7608808,2010-02-04 06:58:00,628,2579,22.97,Swipe Transaction,60569,Sharon Hill,PA,19079.0,5300,
7610416,2010-02-04 12:47:00,1529,4985,22.96,Swipe Transaction,69972,Pompano Beach,FL,33076.0,5814,
7611967,2010-02-04 19:56:00,1623,5142,23.19,Swipe Transaction,40726,Dayton,KY,41074.0,5812,
7613536,2010-02-05 10:13:00,810,4262,2.81,Swipe Transaction,66063,Fresno,CA,93711.0,5812,
7615107,2010-02-05 16:07:00,1616,5164,46.76,Swipe Transaction,85376,Roanoke,TX,76262.0,4121,
7616679,2010-02-06 07:29:00,1654,4276,24.04,Online Transaction,39021,ONLINE,,,4784,
7618306,2010-02-06 14:03:00,638,3394,10.02,Swipe Transaction,75936,Blair,NE,68008.0,5814,
7619860,2010-02-06 22:29:00,176,2943,10.81,Swipe Transaction,82981,Atlanta,GA,30317.0,5912,
7621477,2010-02-07 10:37:00,1875,4167,61.17,Swipe Transaction,53224,Canal Fulton,OH,44614.0,5411,
7623094,2010-02-07 16:25:00,1940,3230,18.96,Swipe Transaction,81922,Corona,NY,11368.0,5813,
7624653,2010-02-08 07:05:00,1379,2604,0.23,Swipe Transaction,28336,Ardmore,OK,73401.0,5411,
7626292,2010-02-08 12:42:00,764,3727,67.63,Swipe Transaction,20519,Vienna,GA,31092.0,5942,
7627880,2010-02-08 19:57:00,1407,5384,11.54,Swipe Transaction,67283,Bessemer,AL,35023.0,5921,
7629434,2010-02-09 09:20:00,104,4205,-93.00,Swipe Transaction,61195,Grand Prairie,TX,75050.0,5541,
7631028,2010-02-09 14:51:00,1151,5006,5.85,Swipe Transaction,8982,Princeton,NJ,8540.0,5912,
7632599,2010-02-10 03:48:00,1510,1257,339.00,Swipe Transaction,57133,Waianae,HI,96792.0,3730,
7634182,2010-02-10 11:27:00,285,4196,11.32,Swipe Transaction,61195,Watsonville,CA,95076.0,5541,
7635786,2010-02-10 17:41:00,1193,4533,39.42,Swipe Transaction,85988,Glens Falls,NY,12801.0,7832,
7637325,2010-02-11 07:58:00,1774,5939,58.00,Swipe Transaction,61195,Minneapolis,MN,55421.0,5541,
7638960,2010-02-11 13:31:00,176,972,83.74,Swipe Transaction,61254,Atlanta,GA,30317.0,5300,
7640536,2010-02-11 21:45:00,1100,5964,163.98,Swipe Transaction,30286,Levittown,NY,11756.0,4814,
7642107,2010-02-12 11:26:00,1535,187,114.10,Swipe Transaction,73279,Lucasville,OH,45648.0,8021,Insufficient Balance
7643726,2010-02-12 18:29:00,1435,4294,279.42,Online Transaction,9932,ONLINE,,,5311,
7645347,2010-02-13 09:39:00,663,5941,7.98,Swipe Transaction,98374,Franklin,TN,37068.0,5411,
7646946,2010-02-13 15:58:00,1776,4938,32.63,Swipe Transaction,43293,Nashport,OH,43830.0,5499,
7648515,2010-02-14 06:40:00,1168,3239,-148.00,Swipe Transaction,44795,Marysville,OH,43040.0,3780,
7650134,2010-02-14 12:34:00,1967,4494,11.19,Swipe Transaction,2177,Lake Forest,CA,92630.0,5411,
7651698,2010-02-14 19:55:00,1920,5579,51.28,Swipe Transaction,46474,Ogilvie,MN,56358.0,7538,
7653278,2010-02-15 09:23:00,556,2,7.03,Online Transaction,88459,ONLINE,,,5311,
7654887,2010-02-15 15:00:00,1923,2041,63.00,Swipe Transaction,43293,Clever,MO,65631.0,5499,
7656459,2010-02-16 05:54:00,1274,1075,6.36,Swipe Transaction,59935,Pascoag,RI,2859.0,5499,
7658050,2010-02-16 11:59:00,349,2520,7.27,Swipe Transaction,20519,Canton,OH,44721.0,5942,
7659640,2010-02-16 18:44:00,1500,4729,105.22,Online Transaction,726,ONLINE,,,4900,
7661230,2010-02-17 08:50:00,1330,4579,12.67,Online Transaction,15143,ONLINE,,,4784,
7662860,2010-02-17 14:41:00,820,127,71.88,Swipe Transaction,76017,Barnstable,MA,2630.0,7230,
7664424,2010-02-18 03:38:00,720,2516,126.18,Swipe Transaction,18443,Detroit,MI,48209.0,4900,
7666033,2010-02-18 11:18:00,148,3423,14.58,Swipe Transaction,50867,Contoocook,NH,3229.0,5541,
7667628,2010-02-18 16:59:00,1963,4565,24.16,Online Transaction,16798,ONLINE,,,4121,
7669225,2010-02-19 08:42:00,1453,234,1.44,Swipe Transaction,86438,Vernon,AL,35592.0,5499,
7670832,2010-02-19 15:13:00,637,2115,223.75,Online Transaction,23446,ONLINE,,,7801,
7672381,2010-02-20 06:07:00,327,5512,66.08,Online Transaction,39021,ONLINE,,,4784,
7673975,2010-02-20 13:08:00,55,5865,2.19,Swipe Transaction,14528,Antioch,CA,94509.0,5499,
7675557,2010-02-20 21:00:00,1168,3239,33.29,Online Transaction,39021,ONLINE,,,4784,
7677125,2010-02-21 09:55:00,1147,2042,140.00,Swipe Transaction,27092,New York,NY,10010.0,4829,
7678717,2010-02-21 15:33:00,78,5910,53.21,Swipe Transaction,71667,Los Angeles,CA,90044.0,7538,
7680264,2010-02-22 05:15:00,1659,959,2.90,Swipe Transaction,10186,Wauconda,IL,60084.0,5812,
7681857,2010-02-22 11:41:00,1975,5957,33.30,Online Transaction,39021,ONLINE,,,4784,
7683451,2010-02-22 17:36:00,1686,2617,256.17,Swipe Transaction,79927,Louisville,CO,80027.0,5912,
7685014,2010-02-23 08:26:00,1416,2951,152.00,Online Transaction,73186,ONLINE,,,4814,
7686625,2010-02-23 14:01:00,1609,4090,9.94,Swipe Transaction,94257,Burke,VA,22015.0,5300,
7688205,2010-02-24 01:36:00,1484,5058,40.00,Swipe Transaction,27092,Pinetop,AZ,85935.0,4829,
7689775,2010-02-24 11:01:00,659,128,45.61,Swipe Transaction,48462,Mitchell,IN,47446.0,7538,
7691374,2010-02-24 16:40:00,209,5575,49.52,Swipe Transaction,19964,El Paso,TX,79930.0,5311,
7692942,2010-02-25 07:36:00,277,5362,10.19,Swipe Transaction,60569,Columbia,MS,39429.0,5300,
7694543,2010-02-25 13:10:00,1852,28,9.85,Swipe Transaction,23481,Brockport,NY,14420.0,5812,
7696135,2010-02-25 21:11:00,1407,5384,1.16,Swipe Transaction,84425,Bessemer,AL,35023.0,5812,
7697725,2010-02-26 11:17:00,511,1038,81.37,Swipe Transaction,61195,Tucson,AZ,85711.0,5541,
7699312,2010-02-26 17:31:00,804,2553,25.19,Swipe Transaction,50939,Bowling Green,KY,42101.0,5813,
7700828,2010-02-27 08:23:00,354,1168,-227.00,Swipe Transaction,39991,Lincoln Park,MI,48146.0,3771,
7702424,2010-02-27 15:13:00,1076,3027,33.00,Swipe Transaction,20561,Fayetteville,NC,28306.0,5912,
7704001,2010-02-28 05:33:00,1898,4543,38.32,Swipe Transaction,61195,Montgomery,AL,36108.0,5541,
7705610,2010-02-28 11:43:00,368,3822,50.38,Online Transaction,39021,ONLINE,,,4784,
7707187,2010-02-28 18:19:00,137,5442,37.12,Swipe Transaction,19756,Johnson City,TN,37604.0,7832,
7708745,2010-03-01 08:45:00,1397,2957,93.55,Swipe Transaction,75218,Pryor,OK,74361.0,5655,
7710371,2010-03-01 14:25:00,1541,228,42.14,Swipe Transaction,11468,Rutledge,TN,37861.0,5970,
7711948,2010-03-02 02:43:00,375,3354,28.44,Online Transaction,81759,ONLINE,,,7349,
7713553,2010-03-02 11:15:00,1686,2617,16.04,Swipe Transaction,79664,Lafayette,CO,80026.0,5814,
7715169,2010-03-02 16:49:00,1039,4937,19.90,Swipe Transaction,8649,Los Angeles,CA,90033.0,5912,
7716756,2010-03-03 07:48:00,1897,3690,6.09,Swipe Transaction,106,Huntington,NY,11743.0,5411,
7718388,2010-03-03 13:29:00,123,227,11.07,Swipe Transaction,75781,Griffin,GA,30224.0,5411,
7719990,2010-03-03 21:49:00,1458,117,40.13,Swipe Transaction,20561,New Orleans,LA,70119.0,5912,
7721595,2010-03-04 10:10:00,997,2261,30.54,Online Transaction,15143,ONLINE,,,4784,
7723161,2010-03-04 15:39:00,1638,4296,95.00,Swipe Transaction,59935,Lakeville,MN,55044.0,5499,
7724751,2010-03-05 07:03:00,1456,2211,100.00,Swipe Transaction,27092,Lucedale,MS,39452.0,4829,
7726359,2010-03-05 13:31:00,720,4136,20.99,Swipe Transaction,18215,Howell,MI,48843.0,5719,
7727944,2010-03-05 22:35:00,1996,4212,40.87,Swipe Transaction,88646,Alvin,TX,77511.0,5812,
7729538,2010-03-06 12:03:00,1699,4245,12.96,Online Transaction,18563,ONLINE,,,4121,
7731124,2010-03-06 18:47:00,1779,1214,20.28,Swipe Transaction,8327,Paint Lick,KY,40461.0,5813,
7732695,2010-03-07 08:37:00,1769,43,8.78,Swipe Transaction,66541,Wakarusa,IN,46573.0,5300,
7734303,2010-03-07 14:15:00,120,5813,27.43,Swipe Transaction,47680,Franklin,WI,53132.0,5812,
7735914,2010-03-08 02:50:00,1675,4692,65.49,Swipe Transaction,32175,Spanaway,WA,98387.0,7538,
7737528,2010-03-08 11:22:00,1461,2886,15.56,Swipe Transaction,61195,Brunswick,OH,44212.0,5541,
7739132,2010-03-08 17:11:00,275,3911,52.91,Swipe Transaction,88646,Webster,TX,77598.0,5812,
7740702,2010-03-09 08:23:00,152,2587,4.26,Swipe Transaction,90145,Atlanta,GA,30316.0,5411,
7742336,2010-03-09 13:54:00,1487,4946,27.11,Swipe Transaction,60569,Hermitage,PA,16148.0,5300,
7743906,2010-03-09 22:52:00,822,5424,28.80,Swipe Transaction,15327,Chula Vista,CA,91911.0,5912,
7745546,2010-03-10 11:01:00,98,4143,3.16,Swipe Transaction,69118,Danville,IL,61832.0,5812,
7747121,2010-03-10 16:51:00,1279,5472,1.19,Swipe Transaction,14528,Novi,MI,48375.0,5499,
7748672,2010-03-11 07:39:00,472,3811,98.00,Swipe Transaction,59935,Round Lake,IL,60073.0,5499,
7750291,2010-03-11 13:19:00,387,4601,1.28,Swipe Transaction,20519,Avon,OH,44011.0,5942,
7751861,2010-03-11 21:41:00,1345,2187,103.64,Swipe Transaction,81618,New Orleans,LA,70179.0,5812,
7753456,2010-03-12 11:34:00,261,30,60.00,Swipe Transaction,27092,North Las Vegas,NV,89032.0,4829,
7755069,2010-03-12 18:30:00,1855,3021,-94.00,Swipe Transaction,61195,Sacramento,CA,95821.0,5541,
7756632,2010-03-13 09:36:00,1376,2182,65.42,Swipe Transaction,18215,Round Rock,TX,78681.0,5719,
7758253,2010-03-13 16:28:00,1797,1127,6.88,Swipe Transaction,19964,San Leandro,CA,94577.0,5311,
7759817,2010-03-14 06:52:00,1116,5559,33.53,Swipe Transaction,32175,Warrington,PA,18976.0,7538,
7761421,2010-03-14 12:31:00,712,5506,32.76,Swipe Transaction,59935,Chula Vista,CA,91910.0,5499,
7763003,2010-03-14 19:47:00,1888,1016,-70.00,Swipe Transaction,26810,Farmington,MN,55024.0,5541,
7764575,2010-03-15 09:12:00,1540,3763,41.89,Online Transaction,39021,ONLINE,,,4784,
7766184,2010-03-15 14:48:00,1314,2911,44.74,Online Transaction,41122,ONLINE,,,4784,
7767785,2010-03-16 04:56:00,1915,2113,97.89,Swipe Transaction,86410,New City,NY,10956.0,5211,
7769410,2010-03-16 11:45:00,803,1172,4.81,Swipe Transaction,7261,Turlock,CA,95382.0,5912,
7770995,2010-03-16 17:49:00,944,5550,0.51,Swipe Transaction,14528,Palos Verdes Peninsula,CA,90274.0,5499,
7772550,2010-03-17 08:24:00,1591,5919,-68.00,Swipe Transaction,43293,Camano Island,WA,98282.0,5499,
7774150,2010-03-17 14:06:00,377,3906,-64.00,Swipe Transaction,96049,Kent,WA,98032.0,5541,
7775727,2010-03-18 00:44:00,421,5560,43.22,Swipe Transaction,11468,Sheboygan,WI,53083.0,5970,
7777334,2010-03-18 11:25:00,1591,2043,13.94,Online Transaction,88998,ONLINE,,,4784,
7778953,2010-03-18 17:17:00,905,53,82.94,Swipe Transaction,46519,San Mateo,CA,94404.0,5812,
7780561,2010-03-19 09:00:00,24,2827,5.01,Swipe Transaction,49568,Rockford,IL,61109.0,5411,
7782151,2010-03-19 15:28:00,1651,4181,65.03,Swipe Transaction,32098,Cordova,TN,38016.0,7538,
7783708,2010-03-20 06:35:00,61,2265,29.73,Swipe Transaction,60569,Monroe,NY,10950.0,5300,
7785356,2010-03-20 13:32:00,1317,5790,61.69,Swipe Transaction,51263,Pleasantville,NJ,8232.0,5211,
7786939,2010-03-20 21:57:00,1508,3279,-53.00,Swipe Transaction,43293,Bloomington,IN,47403.0,5499,
7788502,2010-03-21 09:51:00,1654,4276,39.24,Swipe Transaction,15705,Newport,RI,2840.0,7538,
7790137,2010-03-21 15:32:00,452,4249,41.57,Online Transaction,41122,ONLINE,,,4784,
7791732,2010-03-22 06:34:00,1294,4629,35.48,Swipe Transaction,21020,Union,NJ,7083.0,5300,
7793347,2010-03-22 12:00:00,494,3273,12.81,Swipe Transaction,85916,Laurel,MD,20708.0,5300,
7794993,2010-03-22 19:15:00,1541,228,49.84,Swipe Transaction,66010,Clinton,TN,37716.0,7538,
7796587,2010-03-23 09:02:00,1985,4085,2.47,Swipe Transaction,75936,Alpharetta,GA,30022.0,5814,
7798198,2010-03-23 14:51:00,1702,5749,0.55,Swipe Transaction,86438,Mira Loma,CA,91752.0,5499,
7799777,2010-03-24 05:02:00,92,5947,151.88,Swipe Transaction,54850,Sioux Falls,SD,57110.0,4814,
7801401,2010-03-24 11:47:00,1518,2584,42.09,Swipe Transaction,87967,Somerville,AL,35670.0,7538,
7803018,2010-03-24 18:24:00,1534,4250,36.61,Swipe Transaction,6245,Austin,TX,78737.0,4121,
7804579,2010-03-25 08:26:00,1750,3714,415.57,Swipe Transaction,52923,East Longmeadow,MA,1028.0,3504,
7806179,2010-03-25 14:00:00,1888,1017,36.54,Swipe Transaction,43293,Union City,CA,94587.0,5499,
7807754,2010-03-25 23:07:00,1286,5168,85.75,Swipe Transaction,32858,Buffalo,NY,14226.0,5311,
7809362,2010-03-26 12:08:00,1830,4083,151.35,Swipe Transaction,32858,Georgetown,SC,29440.0,5311,
7810946,2010-03-26 19:28:00,882,1079,8.00,Swipe Transaction,22204,Mount Vernon,OH,43050.0,5541,
7812532,2010-03-27 10:17:00,721,3361,1.49,Swipe Transaction,75781,Miami,FL,33175.0,5411,
7814137,2010-03-27 16:25:00,96,3773,-82.00,Swipe Transaction,43293,Yorba Linda,CA,92887.0,5499,
7815699,2010-03-28 07:06:00,954,2220,100.00,Swipe Transaction,27092,Riverside,CA,92508.0,4829,
7817306,2010-03-28 12:23:00,1638,4296,15.20,Swipe Transaction,55060,San Diego,CA,92127.0,5812,
7818873,2010-03-28 19:13:00,201,2494,114.90,Online Transaction,94212,ONLINE,,,7996,
7820448,2010-03-29 08:55:00,156,4604,4.96,Swipe Transaction,75936,Fontana,CA,92335.0,5814,
7822053,2010-03-29 14:29:00,170,5985,60.83,Swipe Transaction,48919,Edmond,OK,73083.0,5311,
7823651,2010-03-30 02:18:00,1787,2228,3.80,Swipe Transaction,98374,Annville,KY,40402.0,5411,
7825227,2010-03-30 11:07:00,1678,4680,13.69,Swipe Transaction,91128,Laconia,NH,3246.0,5411,
7826872,2010-03-30 17:17:00,1452,3801,78.00,Swipe Transaction,59935,Houston,TX,77056.0,5499,
7828436,2010-03-31 08:11:00,1600,5050,9.14,Swipe Transaction,61195,Kirkland,WA,98034.0,5541,Technical Glitch
7830028,2010-03-31 13:35:00,561,4575,36.54,Swipe Transaction,71908,Burlington,IA,52601.0,5300,
7831589,2010-03-31 22:24:00,24,2827,96.55,Swipe Transaction,61195,Rockford,IL,61109.0,5541,
7833152,2010-04-01 10:21:00,1962,2594,0.44,Swipe Transaction,59935,Willowbrook,IL,60527.0,5499,
7834746,2010-04-01 15:53:00,511,1038,21.57,Online Transaction,18563,ONLINE,,,4121,
7836316,2010-04-02 07:02:00,973,3833,2.06,Swipe Transaction,60600,Como,MS,38619.0,5499,
7837900,2010-04-02 13:59:00,729,226,73.71,Swipe Transaction,20561,Frankfort,IN,46041.0,5912,
7839487,2010-04-02 22:52:00,1543,4687,135.25,Swipe Transaction,43635,Sherman Oaks,CA,91403.0,5411,
7841093,2010-04-03 12:02:00,1818,3418,17.03,Online Transaction,18563,ONLINE,,,4121,
7842692,2010-04-03 19:10:00,1541,228,56.85,Swipe Transaction,35164,Clinton,TN,37716.0,7538,
7844266,2010-04-04 08:42:00,1827,3395,-59.00,Swipe Transaction,61195,Vista,CA,92083.0,5541,
7845896,2010-04-04 14:06:00,1224,3874,68.06,Swipe Transaction,59935,Capitol Heights,MD,20743.0,5499,
7847490,2010-04-04 23:11:00,1008,2592,22.55,Swipe Transaction,30055,Chicago,IL,60630.0,7832,
7849106,2010-04-05 10:59:00,1508,1108,0.41,Swipe Transaction,86862,Bloomington,IN,47403.0,5411,
7850682,2010-04-05 16:50:00,1084,3454,46.31,Swipe Transaction,68264,Tacoma,WA,98403.0,7349,
7852238,2010-04-06 07:51:00,987,4146,4.83,Swipe Transaction,20519,Silver Spring,MD,20906.0,5942,
7853846,2010-04-06 13:25:00,900,1238,-61.00,Swipe Transaction,61195,Panama City,FL,32401.0,5541,
7855445,2010-04-06 21:53:00,776,5859,122.94,Swipe Transaction,29827,Memphis,TN,38103.0,7230,
7857044,2010-04-07 10:22:00,779,1058,0.57,Swipe Transaction,50783,Richardson,TX,75080.0,5411,
7858639,2010-04-07 16:06:00,1786,1000,13.62,Swipe Transaction,28105,Louisville,OH,44641.0,7210,
7860214,2010-04-08 07:18:00,1594,3241,103.62,Online Transaction,87530,ONLINE,,,4900,Insufficient Balance
7861830,2010-04-08 12:46:00,459,120,49.06,Swipe Transaction,69956,Clearwater,SC,29822.0,5310,
7863405,2010-04-08 20:13:00,1759,2893,91.21,Swipe Transaction,54441,Oceanside,CA,92057.0,5912,
7865003,2010-04-09 10:17:00,1825,4310,31.36,Swipe Transaction,53802,Aurora,CO,80013.0,5912,
7866623,2010-04-09 16:35:00,630,4520,87.82,Swipe Transaction,20561,Jacksonville,FL,32218.0,5912,
7868188,2010-04-10 07:55:00,199,1031,40.97,Swipe Transaction,36934,Allen,TX,75002.0,7538,
7869827,2010-04-10 14:35:00,1916,3258,48.83,Swipe Transaction,61195,Quincy,FL,32352.0,5541,
7871397,2010-04-11 00:31:00,114,3398,65.68,Swipe Transaction,59935,North Hollywood,CA,91606.0,5499,
